tweet id, tweet, label
'348351442404376578',"@Jay1972Jay Nope. Mid 80's. It's off Metallica's 2nd album Ride The Lightning.  84 I believe.",off-topic
'348167215536803841',"Nothing like a :16 second downpour to give us some much needed moisture. http://t.co/HHImyESBPu",off-topic
'350519668815036416',"Party hard , suns down , still warm , lovin life , smile hard , do it right :) ! Summer 2013",off-topic
'351446519733432320',"@Exclusionzone if you compare yourself to water does that mean I can't live without you?",off-topic
'349528038817546241',"and is usually viewed in a #heroic light, recent events notwithstanding.",off-topic
'351467497318387713',"You thought there was more to us but you knew how it would end --",off-topic
'349946283395530752',"'Canada' appeared on Tuesday 25 at the 18th place in the Top20 of Edmonton's Trends: http://t.co/EuKOxJpvFb",off-topic
'350124639705497601',"I #can't tell you how many times I had this realization.",off-topic
'351785290446299136',"I'm at Land &amp; Sea (Calgary, Alberta) http://t.co/yEXwlAOXrU",off-topic
'351088700169535489',"Anyone need some American clay. @americanclay for sale. Let me know #yyc #ecoliving #cleanliving # @ http://t.co/dNk9u5oPa6",off-topic
'348729640124313600',"Heartily chatted with #Kenyans today in the mall.",off-topic
'349527874446954497',"Tuesday morning update: 4st store still closed due to no power in our community. Closest Bronze Baxx is our Sirocco drive location!",off-topic
'350040683295424512',"Clearly, the mistake was that the souvenir seller came to them with more money than what we paid. The plaza managers ha",off-topic
'351054139016486913',"Holy poop its hot today.",off-topic
'349413574675927040',"That is not a ferret RT @RaggedyAuthor: @BariLeia baby bunny on my lap. http://t.co/HRA54KFtUn",off-topic
'349729143031730176',"@actioncond good one for the girls that go all the way down #strongtothecore http://t.co/Yk6qAiI9jx",off-topic
'348435003564240897',"Internal Auditor and Accountant in Calgary, AB #job #hiring http://t.co/lKHdjCmZsR",off-topic
'351454529239265280',"Floor to ceiling baby, keeping it county &lt;3 #firewood #woodshed #woodstove #keepinitcountry http://t.co/Ty6kP9Gf06",off-topic
'350028174517731330',"http://t.co/pfYIjjz3Fw those arms, that face that smile..... this guy is absolutely perfect",off-topic
'351451401609674755',"Keep on saying.Duplicate tweet Fudge is that!",off-topic
'351225709735313409',"would #specifically please the leader of this whole expedition. And once that was out of the way, she would rejoin the f",off-topic
'350664965717377027',"Driving the forklift.. Feel something tickling my ear (pleas let it be my hair) worst fear come true.. Tar sand beetle! #nooo #cryingensues",off-topic
'351479278430461952',"Lord of the Rings Adventure Board Game is happening at the lake. #nerdlife @ Laurier Lake http://t.co/FFF568MLug",off-topic
'348632163345895424',"AND IT'S HALF FLAT WHAT THE FUCK I JUST OPENED IT FUCK YOU KOKANEE EVEN THO I LOVE YOU",off-topic
'349516651915526145',"@jmslat it's never too early for spice girls",off-topic
'350770369503830016',"There might be a thousand food items on a table, but you do not need to eat them all in order to satisfy your hunger,",off-topic
'348827343684509696',"Some kinda allergies my face is red and itchy!! #wtf #yyc I want my #islandnights back. It might rain at home but it doesn't do this shiet",off-topic
'350682547103088642',"Great, Han said. We'll come with you.",off-topic
'349299172748439553',"RT @CondescendTorts: Do the Sedin's even fucking know what blocking a shot is? Yes! They've been defending @strombone1 doing it for years",off-topic
'348832411565563904',"@niqr_ i had 2 exams for this semester.",off-topic
'349641703398969345',"Every time I turn around, this place looks more and more like a Dexter kill room. @ Rocketfuel Games HQ http://t.co/NYk8cIShBC",off-topic
'348482157141958656',"Red velvet cake is gross  never again",off-topic
'351477766937526272',"I'm at Princess Auto (Edmonton, AB) http://t.co/PX0BPH06Dp",off-topic
'348987812063883264',"#Skywire was boring, what was exciting was when Rodman went off the cliff &amp; KO'd himself",off-topic
'350803455453044737',"Make sure to checkout the most epic pop-up party in #yyc right now! #Back2theBeltine until 10 p.m. tonight #VicParkYYC #Beltline",off-topic
'349151662872596480',"see the first hints of a budding romance when it was happening right under his nose. Ben would deny it, of course, but",off-topic
'349533935279157248',"Isolder walked down a row of #Wookiees, all intent upon the jumble of small metal parts on the tables before them. The fu",off-topic
'349028670687555584',"I HAVE EXAMS ALL THIS WEEK LAJSJKDSKNSFJKSK OMG NO IM SO SCARED :((((((",off-topic
'351419696614105088',"Road tripping with my Bro http://t.co/4T2i6KzvUu",off-topic
'351177129452507136',"@emanuelburnstad @jolson391 You're welcome but don't call me Doc yet! Still have to go to Uni...",off-topic
'349316725688369153',"@serenaryder Best wishes to you and all that jazz! I love jazz music!",off-topic
'348313163583877121',"@smashedpenney look forward to buying you n yer dude a beer tomorrow. Ya deserve a couple RAKs",off-topic
'349509670383271936',"Nor could Jaina do anything to help. Her #brother seemed to anticipate every adjustment she made, swinging Vatok around t",off-topic
'348842978590203904',"@brittannyyx according to your horoscope you are always jealous... I think that's funny for some reason",off-topic
'350485506464821248',"Yet another strange bug on the patio. Kinda cute actually #bug #insect #patio #igers #igdaily http://t.co/u5gVShNvpB",off-topic
'350007705198538752',"Wed 16:00: Partly cloudy. Risk of a thunderstorm this evening. Low 10.",off-topic
'350399709824811009',"2o13.o6.27 match made in heaven @theworksfest by @joshholinaty #yegarts @ Latitude 53 Gallery http://t.co/bS28p2JL6k",off-topic
'349601327380328448',"Need a stress relief sweat? http://t.co/fkKK50QfD8 for a great 200-500 too challenge. You decide what you are up to! http://t.co/Ir8UGIKIh6",off-topic
'350396009412706304',"@MrSilverScott @TravelAlberta so does that mean you'll come renovate my house #itreallyneedsit",off-topic
'348071965682171904',"Day hasn't even started yet and I already hate it http://t.co/3v8GPryKh8",off-topic
'348650941362348032',"Haven't worked out that hard in 2 months omg",off-topic
'351466597891837952',"@jenbernson ME....sometimes celery and cheese whizzzzzz",off-topic
'351799241196318721',"@WhiskyDickson ERMAGAWD! Dude... That's almost close to slave labor!",off-topic
'351727690526638080',"@HuffingtonPost: The gut-wrenchingly tragic outcome of one couple and their struggle to accept their gay son http://t.co/wxOKSvQmvo Aww :(",off-topic
'350321009678745601',"The only ships still moving on the screens were the",off-topic
'348636214255030276',"A trip to ZR Autos :) ... #Lamborghini Murcielago, loved the colour on it :) @ ZR Auto http://t.co/y8CVAOXgQU",off-topic
'347890318311575552',"@jackshope They are airlifting our crew into Canmore via helicopter just to get communications set up! I need to keep listening to freq 24/7",off-topic
'348558198850072576',"Should I already make my guesses for bucci overtime challenge for game 5? Sharp/Paille",off-topic
'348657898647322624',"Her eyes sparkled as she lifted her other arm up so he could #see what she",off-topic
'349336853532516352',"When @bbjli not only yells at my cousin, but makes him look like an idiot while teaching him in the process.",off-topic
'349232464490795008',"Legs shoulders and abs. (@ World Gym) http://t.co/9nmdzhXmO4",off-topic
'349482509601484800',"Half Off Bridal-Gown Dry Cleaning from Fine Drycleaning http://t.co/POuzsUZyDH",off-topic
'351791095350435842',"A real man never stops trying to show a girl how much she means to him, even after he's got her.",off-topic
'349688699715461121',"@laurabuckley he was there last week!",off-topic
'351546840669372416',"On Saturday 29, #CFL was Trending Topic in Calgary for 14 hours: http://t.co/IuOfwM52VH",off-topic
'351234862692315138',"Nothing worse than a cracked out guy trying to fight you. #whydidileavemyroom #whyteaveprobs",off-topic
'349028933469077504',"Can everyone on my feed stop being a giant buzzkill? You can all go fuck your own face.",off-topic
'350844264571346947',"Sometimes I find myself rereading a sentence backwards without realizing it but it makes perfect sense. But when I try again it's gibberish.",off-topic
'348136343592898560',"Happy birthday my love you are so talented, beautiful and spectacular. Happy birthday and many more my sweet @LanaDelRey",off-topic
'348904836655353856',"I haven't danced in forever.",off-topic
'350367695616741377',"@BestProAdvice: http://t.co/Azwvusfk3K I already do that shit",off-topic
'350766230434623488',"@ShitNoOneSayss_: Just pre-ordered Soulja Boys new album!@AshleyMoBrown why did i think of you?",off-topic
'350795786247880704',"In Okotoks watching the nephew playing some BantamAAA baseball #shwingbadder #chucker http://t.co/SmMfkcPq6D",off-topic
'348446012169404416',"I'm at Tim Hortons (Edmonton, Alberta) http://t.co/qIkNCkHgLi",off-topic
'349257488174034944',"Customer Relations - Non Profit Donor Services Calgary  - Starting at $13. Apply Now #job #hiring http://t.co/dzLYkAYx7S",off-topic
'351844701298638848',"Boonstock festival goers cleaning up after four-day party in Gibbons [Photos]: The fun and games have wrapped up... http://t.co/LAtxqJab1c",off-topic
'348172599181836288',"@JavelinJamz tried replying but couldn't. We are here (Calgary). Shit is fucked. R u guys here? Should we do a house show???",off-topic
'351236176050524161',"#CanadaDay shows up at this time as Trend in Calgary http://t.co/wHuuFDTB0j",off-topic
'350299556405198848',"Construction Safety Manager, Calgary AB #job #hiring http://t.co/Z021OiwOls",off-topic
'350869872303030272',"The present day really isn't that bad in terms of entertainment media and culture as many people paint it to be.",off-topic
'349355315445235713',"You are so attractive. #Js @MTV @MTVteenwolf",off-topic
'348843092423610368',"TJX Canada #Retail #Job: Coordonnateur, Service  la clientle/Exploitation ( #Edmonton , AB) http://t.co/5T6FEjINBK #Jobs",off-topic
'350842645167341569',"@rhenzramirez18 @JustSammyyG @iamChuntian @Izang_Calawita WOW! Look at your Social. 20-1 goes first before 10-1 in Sem 2. Hilarious!",off-topic
'348446598616985601',"It would have probably been easier and a lot less work to have stuck with roommates",off-topic
'348391226455760896',"O driscolls block made the try#cuteness.can't beat it",off-topic
'350505847060840448',"But she found only decomposing wood and fabric-not much of a threat as far as she could tell.",off-topic
'350076501405876224',"I'm on Instagram, follow me at indykhosah",off-topic
'350847983270625281',".@ManteoMitchell @laurenfleshman I second this, the @Flotrack crew would love to nom on these for a few meets. Possible barter?",off-topic
'348647189981052928',"@WORDUPTORONTO Thanks for the follow!",off-topic
'347924370196402182',"Party in Miami tonight! The #Heat have done it again. NBA Champions!!!",off-topic
'350858544901394433',"Sat midnight: Temp 17.3 C; Wind SE 13 km/h; Humidity 67%; Press 101.7 kPa / falling; Health Idx 2.4.",off-topic
'349264236112904192',"Forklift / Counter Balance Operator needed in Cochrane, AB #job #hiring http://t.co/TdktNIrBHp",off-topic
'350513891333242880',"Bemused, Ahsoka stared at the deactivated holotransmitter. Lanteeb. How very mystifying. And she'd look into it like Ana",off-topic
'348737404804419584',"@AmyBlacksson lol Burco and Somaliland in general you don't really need to take anything its all over there",off-topic
'348265110114013185',"And my fathers name is David what just happened here its fate",off-topic
'351822882168512514',"@giftbasketrus same to you!  Hope it's this nice at Silver Creek in a few weeks.... Cheers",off-topic
'351459321432907777',"@ScottyRoblin wouldn't say a mile but maybe a half mile just another year in Jr will be fine but Hunter Shinkaruk #sigh",off-topic
'348078792134238209',"@misheybelle @DriveYYC looks like an Executive L series Lincoln Towncar (mini stretch limo) which is a good foot longer than most cars #kcco",off-topic
'349975329600831489',"think they control it, but they're tragically mistaken. The dark side of the Force controls and consumes them, consumes",off-topic
'350661618469834755',"I'm gonna start unfollowing ppl, who use the boys on the bus as an excuse for sucking. The team sucked.",off-topic
'350174635427500032',"@CorieEberle Check that, your twitter app? Ever since I did, it's been pooched",off-topic
'348265467426766850',"@UpperDeckHockey @UpperDeckSports just pulled pack wars 12-13 SPA Bobby Orr Team Canada  auto sp, great win http://t.co/4hSYUyxycG",off-topic
'350030750369853442',"Is miserable, need some sort of therapy..just can't decide if it should be in the form of retail, chocolate or wine! *sigh* #seriously",off-topic
'350108655561089025',"@redbloomsalon 5st from 12ave still looking dark, taken just a sec ago http://t.co/qs840RJBFI",off-topic
'349353890585657344',"RT @GreenMonster03: It's going to be a fluke goal that wins this friggin game!!!! C'mon #BRUINSSSSSSSSSSSSSSSSSSSS",off-topic
'349937322332135426',"Lando gave it another dozen rounds, just to be sure. Then, during one of the deals, he casually looked over at Zerba and",off-topic
'349768442880069632',"@ulethbridge guest assistant Sam was very helpful and friendly. I'm going to pop in and check out the @ULethSU tomorrow morning.",off-topic
'351263185434705922',"Lord Gaalan ignited his lightsaber; the clover-like growth on the meadow glowed red in its light. The other three Sith a",off-topic
'351497317343444992',"@NHLFlames please make a deal make a diffence its the year of getting good players",off-topic
'349266139114778624',"@jameskirby30 I'm 7 hours behind ye and that's well past its sell by date #GottaKeepItFresh",off-topic
'351219739995017218',"TWITTER WHY YOU GOTTA BE LIKE THAT.",off-topic
'349619831122829312',"Machine Tool Sales Representative needed in Cochrane, AB. Great pay ! #job #hiring http://t.co/DVzeWGRbyy",off-topic
'349702264308498432',"Edmonton Public appoints new superintendent: Edmonton Public Schools has appointed Darrel Robertson as the new... http://t.co/OFQHjyxnrJ",off-topic
'351121835133370368',"after a hard day of fence building... margaritas &amp; homemade burgers! #gratitude",off-topic
'351123883312685056',"'Letang' appeared on Friday 28 at the 5th place in the Top20 of Calgary's Trends: http://t.co/D4b8ao3H8c",off-topic
'351060290277879808',"In EDMONTON...ahhhh then CALG ON MONDAY...ahhhh",off-topic
'349433787769290753',"Instead Tahiri looked toward the jury-and #was surprised to find them looking not at Bwuatu, but at her. To a being, thei",off-topic
'351400329901899778',"Ahh just got home. Only thing I'm missing here is, you know, a social life.",off-topic
'348555642283384832',"@tanisbrown A lot can happen in 10 minutes in this family Tanis",off-topic
'348995853236707328',"@bigeyesband Did u get a chance to take a look at the email I sent? I know you're on the road so whenever you get a chance would be rad! =)",off-topic
'350965523837747200',"The guards did their best to look intimidating.",off-topic
'350270196658876417',"During those nights, he often awoke to a sense of worry or a beep from Shaker to see eyes gleaming from the other witle",off-topic
'349876694825451521',"@SmithLanaR Well, here goes nothing! Miss y'all already! #AlbertaDressCode http://t.co/tgL1PGAcgV",off-topic
'350118292209418241',"@stopbeingfamous Don't let them forget what so many Republicans thought of Mandela including Regan and Cheney.",off-topic
'348204931901161472',"@madisancowan what's the license plate number",off-topic
'350020201212944384',"@destructoid I didn't see that, dang!",off-topic
'350939554108276736',"raffic's at a stop:that one clump of men is still holding back, still #trying to get Skywalker up on their shoulders.",off-topic
'350495144576946176',"@Gunner1812 @ZooeyDeschanel show me a horse on a dog and I'll be even more impressed.",off-topic
'348102002158489600',"#Engineering #Job in #Calgary Pipeline Engineers - Calgary, Alberta, Canada (2 Openi... at UniversalPegasus http://t.co/kxLpe9y22A",off-topic
'351388613482778624',"@FrankOceaan: Boys are nice until their friends show up. How true is this?",off-topic
'348650978876223489',"@AlyssaLang34 hah just being the best and bring the coolest chick and a beautiful girl who  loves sports!",off-topic
'349335750870974465',"@76for25 A #Hab fan doesn't cheer for the #Bruins. Cant Happen!",off-topic
'350359010668589056',"Could have my new car today fuck ya",off-topic
'349639150477127681',"In the good old days a certified cheque was like cash... You could deposit it no  problem. #ihatebanks #frustrated",off-topic
'349212573943603202',"The one job i thought wouldnt be stressful is..",off-topic
'349200686619185152',"@Tricolore_Regis it looks to be Ill keep you updated I'm weed whacking on the block :)",off-topic
'350687877568548864',"Coold B. while watching (y) http://t.co/L15ZXiPMTG",off-topic
'349859382395277312',"Good, Raaba thought. Directly before her, she saw Nolaa Tarkona emerging from a vault-locked chamber whose bent and batt",off-topic
'351442732784435201',"othing. The other players had noticed and were brimming with fresh confidence as they realized it was once again a #wide-",off-topic
'349593188312432643',"@hockeymemes: That moment you realize.. http://t.co/XHLra0YZ6m #ouch",off-topic
'350609972142407680',"ngly toward their targets-and then simply disappeared.",off-topic
'351467660493586432',"So rather than get a good player, the Oilers will draft three bad ones?",off-topic
'350160059625517056',"se their dive angle. He pulled the throttles back, #using the repulsorlift drives to slow their descent.",off-topic
'348584521928691712',"lying is honestly the biggest turnoff",off-topic
'348137636097048576',"@kadijaRaymond are you guys gonna walk to castle?",off-topic
'349989622098571264',"@Misty_Hamel it's happening on Sunday for sure, venue is still TBA. #cocktails4calgary",off-topic
'350458880591011840',"...There is a powerful river of forgiveness that flows from the Cross of our CHRIST...",off-topic
'348998087022358528',"@JerroldMcGrath I'll tell Noah, he'll be happy to get the costume back. It's the little things these days!",off-topic
'348900455428001793',"@mahum1995 oh. Well worth it. Sidra still doesn't know how the waiter knew it was her birthday!",off-topic
'350042818129035264',"@Fan4EvaWhitneyH I'll just have to be here twice as much for you now, Baby Girl. Sheena will show me how. She'll always be with you too.",off-topic
'348266259743391744',"I haven't seen Molly in like 3 weeks.....where's that bitch hiding",off-topic
'350990930884562944',"eir side, sweeping a deadly path toward the #nearest building. Their bodyguards closed in behind them, blocking pursuit a",off-topic
'350692268765753344',"Have a great Canada Day weekend to all of our Canadian followers. Canadians are the best, don't forget that!",off-topic
'350178908894797824',"expecting to feel the emitter nozzle of a lightsaber pressing into her ribs just #before Jacen activated the blade.",off-topic
'350548096117252096',"As Luke spoke, he grew aware of CilghaPs presence rushing across the #corridor from the direction of the infirmary. An in",off-topic
'351137528302157824',"After a 73 hour work week ima eat enough pasta to induce me into a food coma &amp; wake up sometime Monday",off-topic
'351134248465477632',"I'm at Boomtown Pub &amp; Patio (Calgary, AB) http://t.co/H0S6Fhm5pB",off-topic
'350015072745168896',"Warehouse shipper (Wholesale Ceramic Tile Distribution) - Daltile -  Calgary, AB http://t.co/69OTOIQYTL",off-topic
'348696057259114496',"@kelliepickler someone is beach body ready!  You look awesome! Hope you &amp; your hubby have a great time!",off-topic
'351667237150654464',"For the kingdom of heaven is like a master of a house who went out early in the morning to hire http://t.co/LSrp0vhmLt",off-topic
'351507523481763840',"I always think of baby names, I ain't ever having kids!",off-topic
'348512397440466944',"@narrynicotine SO CHASE GOT HIS PHONE BACK  AND THIS IS KIND OF WHAT I SEN HIM IM LAUGHING http://t.co/cmUrLnpo2l",off-topic
'348286846880604160',"Maybe some nankatai or tepla. RT @kayzramulji: @nenshi needs some chai and some much needed rest! #nap4nenshi",off-topic
'350534192322445313',"b offer being legit. That you, Falsta?",off-topic
'349368985239814145',"@RenLavoieRDS: Broken ribs, torn cartilage, separate shoulder (tonight) for Patrice Bergeron. #RDS #becauseitsthecup",off-topic
'348196828539408385',"@Xtraspyc that's the plan, I believe it will be a drinking night",off-topic
'347961285574524928',"Happy birthday @Shaanell i love you hope you had a wonderful birthday!!",off-topic
'350177314623078403',"Nuru faced Breaker and Knuckles and said, Where's Sharp?",off-topic
'349600126735642624',"Longest line ever at this Canada Post... Gah!!!! (@ Shoppers Drug Mart - @shopprsdrugmart) http://t.co/jC429bAxqT",off-topic
'351370835568758784',"On my way out, not feeling it today.",off-topic
'348905746995494912',"Play message, he told  #instantfollow it. #",off-topic
'349029794513575936',"tion and overwhelmed him. Initially, anyway. Like #trying to put that waterfall out there through a small tube. Or passin",off-topic
'350022891334672385',"@WeeMadAggie not at all. Wearing proper attire for the activity is an sign of good sense/intelligence.",off-topic
'351093914356293633',"i love how summer smells!",off-topic
'351333465687457795',"Though, if it's something environmental, there's a good chance the #risk would be related to length of exposure, Tekli",off-topic
'350640663936770048',"ring. He wished that he'd stopped at Jira's #stand for a cool drink before he left Mos Espa.",off-topic
'349328757703729152',"I'm at Fort McMurray Airport (YMM) (Fort McMurray, AB) http://t.co/7iYVTVM3JT",off-topic
'349738848571494400',"Today, one of the coolest hikes I've ever done. Rocky hills along a blue-green river...in a http://t.co/1C1KfhrG4D",off-topic
'351595763417092096',"I'm at Rose &amp; Crown (Banff, Alberta) w/ 6 others http://t.co/p76JXoysqX",off-topic
'348948290215223296',"Featuring summer songs on Pure Country tonight. @AaronPritchett I'm playing #SunTanCity, so bring some sunshine to Lloyd this week?",off-topic
'349043440975228928',"ok Luke I have seen your ask fm link 3 times this night that's enough",off-topic
'351847593590001665',"Hey Girl, down there you look like a sweet nickel. #CanadianSexEuphemisms #sorry #sosorry #imaterribleman",off-topic
'349518302164434944',"At its feet was an odd assortment of items - shiny blue stones from the edge of #the Dune Sea, polished bones of Krayt dr",off-topic
'349046665770045443',"at w #instantfollow anting a thing does not mean getting a thing.",off-topic
'348649599759683586',"@mariam_hamoud almost made me shit my pant",off-topic
'348984156384006146',"Imagine sex with that guy. Ick.",off-topic
'349170535781003264',"rested on a #large lounge with a repuls #autofollowback orlift motor.",off-topic
'349301888749010944',"@sit_walk @hollya1m1 dj craicmonkey's in the house.",off-topic
'348948366983573504',"@baldoosi @CoachFrank18 @DarrenDreger - but that is easier said than done.",off-topic
'349349184475901952',"Clifftop residence, now, in #Montgomery http://t.co/lZPbA7g0Md",off-topic
'351151964886806529',"HAHAHAHAHAH some guy just said he loved my hair then asked me on a date I'm scared",off-topic
'351618379880210432',"Sith are also arrogant, Luke said. Ivaar Workan is posing as a high-profile Senator. I am willing to bet that you kno",off-topic
'347900282602135554',"Man this game is intense.",off-topic
'351174890755330048',"No painkillers will do the job. #fuckingchapped",off-topic
'348934857692438529',"Doc Rivers is now the head coach for the Clippers. Garnett and Pierce leaving, what's going on Boston?",off-topic
'350036885445427200',"@renee_shepard Just convince a guy to hang upside down from a tree, or take matters into your own hands and set a trap.",off-topic
'350298831239389184',"Its going to be so hard to say goodbye today.",off-topic
'348444390584377344',"Been a while since I have made that drive @laurielyons but recall going down for the day to catch am #nfl game #SITSSharefest",off-topic
'349663900368781312',"Pretty sure I'm the only one writing the science diploma still",off-topic
'348961572783271937',"A squad of heavy choppers just flew by",off-topic
'350953364407861248',"Ohsh*t !! Goosebumps. Okay na siya but--- the baby didn't survive. Fudge! I'm not expecting this!",off-topic
'351695872033165315',"Internal Auditor and Accountant in Cochrane, AB #oilandgas #job #hiring http://t.co/zkYvUpfl3B",off-topic
'348237327950282752',"@BlueJays #Whiff No one said this come back would be easy. Get those runs back! #GoJaysGo #LoveThisTeam",off-topic
'349933260614270976',"the person who invented marriage was creepy as hell like yo i love u so much im gonna get the government involved so u cant leave bahahaha",off-topic
'350658349680963585',"Really lucky, saw Herbie Hancock live last nite. Like Mozart with a synth, cool to be in the presence of greatness. Amazing gig...",off-topic
'348542671578599425',"@VerandaInterior whoa.. Tough call. Narrow your wants down a bit!",off-topic
'350451359503482880',"#dollarrentacar looking good.  The desk staff in Calgary are #awesome",off-topic
'348569091046535168',"@Peggo36 I'm great thanks, how are you? Haha yeah I am! Coming home in a couple weeks :) what have you been doing with yourself?",off-topic
'350784023133552642',"And they're not the only ones.",off-topic
'350124075827462144',"An alien archaeologist who's in hiding in the underground caverns of Duro. He's a cousin of Dustini.",off-topic
'351394418223366145',"The way 'Days Like That-Sugar Jones' just spoke into my life though.",off-topic
'350321443055206402',"Only crummy thing about being stuck at school all day is that I become the Help Desk for everyone. Without wanting to be.",off-topic
'348502602381684738',"@mountroyal4u do we know what is happening for final exams on Monday?",off-topic
'351445063613693952',"Oh haiii! I'm gonna steal your pillow and sleep on it all day and then do this when you turn the http://t.co/7OwnNDLfgO",off-topic
'350988125352361984',"I feel like I deserve to throw up but this hangover is pretty bad so it will have to suffice",off-topic
'350954066198802432',"@josepicardo Get the air &amp; TimeCapsule. Solid state drive means they're very quick and so light for travelling. #macaddict",off-topic
