tweet id, tweet, label
'325208201740029952',"Funny how I got twenty minutes of sleep last night. Funny how I've got six energy drinks with me. Bring it on exhaustion",off-topic
'325301650791215106',"I just wanna go outside",off-topic
'324654539850539009',"@J_Adams91 oops, someone doesn't like to be told he's a lying punk.",off-topic
'323630018536275968',"Let me love you @GavinQuin you know who else too",off-topic
'325215453721010176',"I want the second suspect alive because I want to know the big question: why?",off-topic
'325085589965787136',"I'm a brand bitch nicki the Queen.",off-topic
'325108380840640512',"This is what I deal with @poooodles http://t.co/r0VBmpLmsH",off-topic
'325215235327815680',"I mean obviously he'll win if he had a bomb XD",off-topic
'323807939288772609',"@yannidenise : why don't you just @ me?",off-topic
'325113541629730816',"Wtf is going on!!! So many incidents happening tonight! #scared #wanttogohome",off-topic
'324014804941541376',"watch me crank dat watch me rooollllll",off-topic
'324752467428524032',"I hate females That be acting up In front of people For nothing -.-",off-topic
'324926177041084416',"@uh_leeshh_uh I mean they need to leave a lesson soooo",off-topic
'323754425074204673',"#5WordsiHateToHear sorry we are not hireinng",off-topic
'324986850668343298',"@kelllli_c that feeling when you just know",off-topic
'325075339686596608',"Fleetwood Mac is putting on such a badass show! #boston #fleetwoodmac #StevieNicks always a good time with @FastFreddyMurph ! :)",off-topic
'323808642560315392',"She said she left and never coming back",off-topic
'325223981554753537',"I must be the only person who doesn't want this guy killed. I want to know who sent him, if there are more out there, etc. I want justice!",off-topic
'325314975822405632',"If u can't recognize a fact when u see one. Then GET LOST! Ain't gat time B.S @i_am_arndru",off-topic
'324338265446559744',"@Treezy_Dollasss you want me to call you now ?",off-topic
'325216704642834432',"@BookerTda4th I'm trying book, I'm trying. I'll be safe though, I promise.",off-topic
'325025491419529216',"Taste of the Nation @sharestrength #tonboston (@ Black Falcon Cruise Terminal w/ @thebostonfoodie) [pic]: http://t.co/an4kBggXsw",off-topic
'324905992951300096',"@GerryCallahan Um, he's the mayor dumbass.",off-topic
'323843108565569537',"!! @tyw_yzy: Bandz mk her Dnce@Samwizee: ! @_OfficialNAGz: Juicy J@Samwizee: She put that ass up in my hands, I remote control it",off-topic
'324727416629108737',"Shots fired in South End, explosions in Texas. Why is the world crashing down now? I want to graduate college.",off-topic
'325078070518239232',"Where's everyone who called me crazy when I said the sox where gonna be nasty???? #sorry #urwrong #alwaysright",off-topic
'325293629931405312',"@HomunculusLoikm @MarxBogpaper @luchadora41 @southgadiva I think who the fuck is Jan and how the flying fuck do u think I fucking feel.",off-topic
'324601675010674688',"How did I just wake up now..",off-topic
'324932666975715328',"I just fixed my erection in public and this chick saw me and started laughing",off-topic
'323959955562573827',"You can it stop us @lizandbells @BenHMichaels (@ Sunset Cantina w/ 3 others) http://t.co/H8jxK8kOOT",off-topic
'324620651493203968',"Getting on the plane , goodbye Boston",off-topic
'325396337275314179',"@Gabbylicious6: Imagine this as a movie in the future Manhunt Boston Manhunt*",off-topic
'323632741839159297',"@Skibum39 mmmm well good luck tomorrow!! Tell me how the test goes",off-topic
'325022215420661761',"@JohnKingCNN you are also not a journalist, or someone who understands sensitive situations. you are a puppet.",off-topic
'323892394456137728',"@spaceboydenzy I'm hip we was cooking niggas",off-topic
'324172403817201664',"@co_KAYainee lol i dont know, should i ?",off-topic
'324619899211247618',"@mobilegurlz @buzzfeednews I should really be writing this with a quill",off-topic
'324660842811498496',"@MilesLacy have to start somewhere. Good luck",off-topic
'324664483974901760',"The fact Sean Thorton just said they don't call us massholes for nothing  #truestatementtho",off-topic
'325294104990855171',"Khyla should've left with us like I said.",off-topic
'323876723861123072',"Something things are just fucked up in this crazy world",off-topic
'324943063795515392',"Going from a bike to an automatic sucks, at least there's a sport mode lol",off-topic
'323992737777082368',"@SarahSaheb aww hun you're the sweetest!!! miss you",off-topic
'323618851143176193',"Another major bonus to the weekend! One more day for a 3 day weekend woo! afbaumann8 @ Boston Beer Garden http://t.co/vfkgvb6LGc",off-topic
'323699233213538304',"Justin and rashid are losing hard as hell right now",off-topic
'324232576325791744',"@The_Juventino In last few days I have become more optimistic he stays",off-topic
'325070032184954881',"..This ain't no time for actin' and this ain't no time for games and this ain't no time for uncertainty.. Say my name say my name...",off-topic
'325381700622352384',"Why did you have to play games like that, of you didn't mean it you shouldn't have said it.",off-topic
'324303883398688768',"Planning and Adaptability. The Ying and Yang of Business.",off-topic
'325277421089726465',"@Dzhokhar_A. Dude your either going to get shot in the face or fucked in the ass in jail hahaha",off-topic
'324137323417710594',"I'm at Old Colony Hospice &amp; Palliative Care, Inc. (Randolph, MA) http://t.co/DRr5XHBIsR",off-topic
'323619234125058048',"I'm at 448 Park Drive - The Fontainebleau (Boston, MA) http://t.co/rtiCL37VtN",off-topic
'324497445419642881',"Just gonna be one of those days I guess.",off-topic
'325319117265584129',"@Reveur_KTM: @DezzyYBR: @Reveur_KTM: I hate when people leave me voicemails... then Im forced to check them can I leave you one? NO",off-topic
'324051774044516352',"'Mass General' appeared on Monday 15 at the 14th place in the Top20 of Boston's Trending Topics: http://t.co/HjcxrjKLQd",off-topic
'325222916797104128',"Hangin out indoors til my freedom ride gets here. #Boston (at @DunkinDonuts) http://t.co/OOSdqPDr7t",off-topic
'325306076671127552',"#Boston is probably the only major city that if u fuck w/ them they will shut down the whole city..stop everything..&amp; find u@_Happy_Gilmore",off-topic
'323924188131909632',"@TrendsGlasgow: Eric Twardzik, @eric_twardzik is now trending in #Glasgow http://t.co/Dl4JWVW3fa This is surreal",off-topic
'323853411068030979',"I be talking to dudes I don't know who played in the league and wishing me the best on things cuz they know ima do big things #blessed",off-topic
'325231610830143490',"I have no class this morning. Which is always nice however I wish it was for a different reason. :/",off-topic
'324715403672711169',"Don't hmu if  1. your not gunna reply  2. if Your going to be ma dry",off-topic
'325069690001031168',"In the morning will speak with chef and let you know. MT @tgordonn  would you be able to let me know if the chicken is soy free at loose",off-topic
'323803060583403520',"first sox game :D w/ @thecarintwenty (@ Fenway Park - @mlb for Tampa Bay Rays vs Boston Red Sox w/ 57 others) http://t.co/BxRp4vyjN5",off-topic
'324371582367711232',"I fucks with my local artists bro",off-topic
'323951671552114688',"I'm at Super Stop &amp; Shop (Dorchester, MA) http://t.co/PifmNoGJAH",off-topic
'325049417457602560',"This ricin guy is a fucking idiot. Like did he really think Obama would go to the mailbox of 1600 Penn and retrieve the mail himself? #Logic",off-topic
'325353716578410496',"@MsLittleSunset l m a o",off-topic
'325227224116637697',"Their uncle dosent know anything about either one of them as people !",off-topic
'324369409273634817',"#HonestHour most of my headaches that I'm always complaining about come from stress.",off-topic
'324201465243635712',"These colors don't run.   #american #Boston",off-topic
'325312749020274689',"@imtonyfernandez the gay dating website of the same name is based out of Cambridge if that counts",off-topic
'325227382904598529',"@ricoOG: I hope he's in that house",off-topic
'324366878887772161',"#Honesthour I hate cocky stuck up bitches",off-topic
'325293401308278785',"@ADP1113 @matthew_ward_92 I don't think he wants to sell Vidal, same way Moggi didn't want to sell Zidane",off-topic
'324951322979876865',"@Factsionary: Canadians eat more donuts per capita than any other country. What a bunch of fatties!!",off-topic
'325207544240943105',"Back at it. Find these fuckers!",off-topic
'325397298693668866',"@Adoreealisha  I'm about to go holy holy those cops girl",off-topic
'324716824962936834',"@TisGQ best thing in the world",off-topic
'324338250099589120',"@TheKyleHardy haha this woman is messing with my head. Thanks for the support!",off-topic
'325329610344636416',"@yo_scoot you're welcome. That's the only way I know how to respond to a thank you",off-topic
'325102499046518784',"@j_harrington11: Just wanna be cute with someone",off-topic
'324937276805238784',"RFT @KGTrashTalk: One day we're all gonna agree that Stephen Curry was the best shooter of all time.",off-topic
'323780896140451840',"The fact that @myrtlemanorshel favorited my tweet last night(: #myrtlemanor",off-topic
'325286424851124224',"Just used my entire debit card hahaha #$1000gone",off-topic
'324756324460163073',"How Selina didn't text me back &lt;&lt;&lt;",off-topic
'323628060702289920',"I will never get sick of thrift shop.",off-topic
'325210403623800832',"@CourageousGod he stole this suv before they put watertown on lock down..",off-topic
'325395117869514752',"@stephyska Oh that's embarrassing for me then #doitallthetime",off-topic
'323680265459347456',"well this has gotta be the longest crush ever.",off-topic
'325328925091831808',"#lunchdate turns into Liz designated driving these clowns http://t.co/dF8CAOpPUQ",off-topic
'324643337120399361',"I love when it's warmer outside then it is inside",off-topic
'325028595485515776',"Am I the only drunk mf at this reunion ?",off-topic
'325067303555309568',"@taylahussey1 hahahahah she should!!! Seeing as their best friends",off-topic
