tweet id, tweet, label
'296728042179534848',"@MarkSDobson I always thought that, big lad aint he, must pump some serious lead! Unless he is on the gear like @darrennorton60 #Jabber",off-topic
'296811076400603136',"Craig Thompson to be extradited to Victoria on 149 fraud charges. Oh to be on the plane, with him in handcuffs. #auspol",off-topic
'295357934387486720',"Sunshine state, sort your shit out.",off-topic
'296390762210398210',"@MarkPhilippi yeah I saw it. He's a wanker. Paul Kent was brilliant at that",off-topic
'296843667321278464',"@Purpletiger79 I really enjoyed doing a photo a day. I think Ima continue &amp; do Feb. Are you?",off-topic
'295330152093712384',"The Sunshine Coast? @ Noosa Heads http://t.co/mgPOgMbF",off-topic
'296744122075729920',"Okay, new favourite piracy metaphor: paying for content as buying indulgences for the sin of piracy.",off-topic
'296354176542334977',"WHAT MY GUM IS ALL SWOLLEN OMG AM I GOING TO DIE",off-topic
'296143150605553664',"Sun and Waves. #finally @ Palm Beach http://t.co/PPfDVzJB",off-topic
'296581730612162560',"My toe is in so much pain arghhhh",off-topic
'296504340003291136',"@RehdersCorner Both @pressdarling and @GigaRussian are eligible for the NBA perk. Maybe one of them can give you their code? :)",off-topic
'296805216077111297',"Looking at what new piercings I can get in the future wish I had  (@ Skin Candy) http://t.co/LmgdJwMc",off-topic
'296599444361711617',"@thejay_i_h He doesn't know I've made a list let alone him being at the top of it",off-topic
'296936072703774720',"Get over it Choc you lost.  Anyone with half a brain could see it. http://t.co/ythaSNX6",off-topic
'296598844987293696',"Like I don't even remember the born this way or monster balls it still seems surreal idk",off-topic
'295485547990892544',"@LiamPayne69me hey babe could I please get a follow :)",off-topic
'297239714937847811',"I just ousted @benhamilton as the mayor of Pizza Lane on @foursquare! http://t.co/TsXgQqdt",off-topic
'296591338063925248',"@larryemdur you have my vote!",off-topic
'295461064844394497',"@LozzKip I know I was a bit scared :(",off-topic
'297092543911428096',"@NiallOfficial can I make you a cake? Which type",off-topic
'296852330584883200',"What if the boys come to Movie World when I'm working next week OMG",off-topic
'296614618569269248',"@StevieDacanay i wish i could afford to fly over from Oz for this!",off-topic
'297074860973236225',"Coming up on @TheTodayShow the 2 Gold Coast surf rescue heroes Nick &amp; Angus http://t.co/cpdHmuBr",off-topic
'297332066197069824',"@R_McEwan @greglovey not yet buddy but 2 good lookin' civvy's like yourselves finding a job should be easy I'll even provide the pool table!",off-topic
'295444466049875968',"@peacelovevegan I have BG on my list to watch.",off-topic
'295325443991674881',"@Ellendoughty it's ridiculous how they're implying that first and foremost it's the victim's fault... Fucking disgusting.",off-topic
'296570783952683009',"Me, Dallas and joeeyy33 . We on that patron boys !! #fuckinwasted #drunkennights #kayjays21st @ Hot Gossip http://t.co/aMISLwdE",off-topic
'296230998406991872',"Works was hectic today. So much drama for one small business :/",off-topic
'295386316911304704',"@yougomarniecoco that's what they are saying.",off-topic
'296487108682596353',"I DUN LIKE MY MATH AND BUSINESS CLASS HERE. K bye.",off-topic
'295509502428585985',"@PuddStrikesBack *damn fat fingers* and you could cock punch him in the bacon bits",off-topic
'295748669506985984',"I've finally seen the wind turbines! Impressive! (@ Windy Hill Wind Farm w/ @mr_billiam) http://t.co/wMYAswl8",off-topic
'295694935141777408',"Enjoying your #AustraliaDay holiday? Check my blog post! http://t.co/zjPIX0FN #Australia #indigenous",off-topic
'295770976069767168',"@Cast_Nath @sbear0112 wow that was a while ago",off-topic
'297449290941485056',"@MicalSpears4SBF Friday is over Saturday is here where I am off to support INM at an aboriginal corroboree. Blessings on you &amp; your Friday..",off-topic
'296204996020666368',"@LittleBirdie87 Ugh he's just so condescending and pretentious. It's a pity they're the Queensland team.",off-topic
'296805064100696065',"Using lunch break to take photos for CV. #ActorLife",off-topic
'296181708775104512',"@Abloorable well done. You forgot to mention 86 twitter accounts!",off-topic
'295423828056735744',"son and family have tickets for the Keith urban concert flew down on Friday disappointed #themthebreaks",off-topic
'297296788623339520',"Friday market (at Elizabeth Street) [pic]  http://t.co/3jQ38CZ1",off-topic
'296770942183563264',"@sherwin 1000 pages is far too long for my feeble brain right now",off-topic
'296779257764515842',"Mhmm watching basketball on tv ATM and them hot cheerleaders! Holy shit! 8=========D",off-topic
'296555563809132544',"@Sky_W82 lol i dont like photos of me.",off-topic
'295891794720346112',"@9NewsBrisbane: RT @jsthirtyfive: QLD police couldn't resist having a hell time. #bigwet http://t.co/u5KjAKtB",off-topic
'295479715882483712',"@sbear0112 DVDs have different region codes, so American/Canada is 1, UK is 2 and Australia/NZ are region 4",off-topic
'296918040816271360',"just realised that year 12 &amp; uni is not gonna be easy. 2013 will be a massive bang bang year indeed.",off-topic
'295367088950890496',"@Katy_Potaty yes! I also own by any means as well - total wanderlust I have.",off-topic
'296443394010517504',"@invig There is no IPC protocol at all for iOS right now. Zero. At the moment, any inter-app is done purely via URLs.",off-topic
'296936247300071425',"There's another Assasin's creed? :o",off-topic
'296842969456209920',"@yvonnetrinh Haha oh nice! I need to do some excercise today bahahha but yes I don't mind them :) will invest in more in the future",off-topic
'297168124833312768',"Back again (@ Broncos Leagues Club) http://t.co/DIg6LQVG",off-topic
'296488595924058112',"Spear fishing in the Coral Sea. I caught a beetle. http://t.co/Ujgm1j5e",off-topic
'295829808330452992',"@Caarlax ...aww I start work before sunrise, plus there's no beach, i work in the desert haha #scunered x",off-topic
'296896979496210432',"@jimpeeps  it is mate unreal place is jus different class so chilled defo recommend it to any1 #thelife",off-topic
'296562738321317888',"@jennifer_hewett: Double standards on sexism@jennifer.hewett  http://t.co/I5o9yGIM I enjoyed the read. All too true.",off-topic
'297477093732782081',"@dloehr Is this the remake with Spacey and Wright thats gone straight to Netflix?",off-topic
'296596674338488321',"@JennifLawrence_ what's your favourite thing to do in your free time?",off-topic
'297234175776391168',"so happy its the weekend",off-topic
'296962691854114816',"#no cassie - end of the line",off-topic
