tweet id, tweet, label
'325478991496630272',"@iAmNotA_Dyke ..nah, I'm fine with it.",off-topic
'325422389854883840',"Oomf still on that bullshit from lastnight",off-topic
'325057083135361025',"-NO Handouts Here I Work Hard For Mines !",off-topic
'325471165026025474',"@_SayMyNameLOUD: Got ate out by a dog !! #CryingMyLilEyesOut",off-topic
'326517344677543938',"She hasn't texted back though.",off-topic
'324738415012749312',"If you don't want an absence then leave after school regardless give blood tomorrow!!!!",off-topic
'327148225670815745',"76639: Special Weather Statement issued April 10 at 1:34PM CDT  by NWS Dallas-Fort Worth http://t.co/YKeZJBmdrk",off-topic
'324686176609005568',"@cdev22 @mere_ann For the movie marathons and random road trips to Katie's. keep in my mind who your GBig is!",off-topic
'324320536907886592',"I really don't want my mama to drop me off at the airport",off-topic
'325136886425346048',"I'll give you a million +1 reasons to stay",off-topic
'324670118573506560',"I need friends my age here in Waco.. The people I know here are too old",off-topic
'328161740942610432',"Basically I want a way to collect name/email/phone for ppl I meet on the go-randomly or having it set up &amp; rdy at events.Anyone know of one?",off-topic
'324555047000223745',"We must meet the uncertainties of this world with the certainty of the world to come #Tozer",off-topic
'326150273590517760',"i really don't want to be in Riesel right now... IM. SO. BORED..",off-topic
'326846377474793474',"The moral of this story is YOU CAN'T TRUST THE SYSTEM",off-topic
'325138982184820736',"Been jammin to it ever since.",off-topic
'327575549088247808',"Don't know what else to do with it",off-topic
'327273668478640128',"@Obey_LuulOddi: These hoes mad , fuck yo mad ass &amp; them feelings",off-topic
'328285391113297920',"@wingoz just for his inspirational value, he'd be my HC",off-topic
'325099131028791296',"@thatgirl_kei I don't have mine yet bc he's getting the actual diamond over there but this is mine  http://t.co/VxMV8nJGYR",off-topic
'325400920072540160',"Up all night, Pack is in the house, what we make the girls do? Wolfpack make ya booty bounce, boppa. Bend,breathe,stretch, bitch let it go",off-topic
'328273999303933953',"Guys....why am I sick again....",off-topic
'325280871206764544',"I swear I stay listening to music it's the answer to all my problems lol",off-topic
'325056386855755777',"When you reach into your pocket and expect to find mayonnaise packets... #fatkidproblems @RissLaffey",off-topic
'325256461011800064',"Aint no fighting for fun nigga",off-topic
'325392611928072192',"When 2 older mexican ladies talk about Facebook",off-topic
'326885107992510464',"@areese13 she misses you. Lets all have a sleepover soon :) her two favorite daughters",off-topic
'326004113110360064',"She stay missing me but I never miss her",off-topic
'325821934245912576',"He's upset with me and I'm trying to understand why ..",off-topic
'325249752771985408',"Never lack keep the strapp",off-topic
'327202691119988736',"Delta Duck races was a blast! I'll be training my duck for next year @BaylorTriDelta #stjude",off-topic
'324728057527160832',"Just because something bad happens doesn't mean the world is gone end !",off-topic
'326187505898622976',"@UncleLuke02 if I'm correct I believe he scored at least as many as Lin",off-topic
'327220755840528384',"Davis has to write his words to know 3xs each. He spent his work time at school making this - it works BTW http://t.co/WMxC8JYtpR",off-topic
'325125889115435009',"Top three things  you'll hear us say at soccer games 1.Lets GoTrojans 2.Ah Ah Ah Ah 3.Dang bro you changed (insert reason they changed) lol",off-topic
'326188879143112704',"@Natalia__Malik haha it's okay. Lol I can still see the tweet though. And yeah I do too. :/",off-topic
'328014442094796800',"Home chillen on Friday night",off-topic
'327974220489441280',"Finally out of work.. 13 hours work days aren't so bad",off-topic
'326320160304676865',"Thank God For Another Day That Was Not Promises.",off-topic
'326770234751070208',"@sydneyjones18 @eden_starnes whatever Sydney. You're such a flaker!",off-topic
'324762802432667650',"Ok no but seriously.. i need sleep",off-topic
'327839288240779264',"@mgrcaxo you get on my nerves. lol.",off-topic
'325255678295937024',"Ill throw a bitch some money if she acting right &amp; fuck me good",off-topic
'325789693990039553',"I guess it's not meant for me to run under the lights",off-topic
'325427501885181954',"3 hours of volleyball today. 7 hours total yesterday. Potentially 2 more hours now. #LEAD #thisisthegoodlife",off-topic
'325087970468188162',"@WhoaOhLaney wow, your life seems boring... just kidding ;) I just read play scripts all day.",off-topic
